variant_group	pango_lineage
Alpha	"B.1.1.7, Q.4, Q.8, Q.6, Q.1"
Beta	"B.1.351, B.1.351.2, B.1.351.3"
Delta	"AY.1, AY.113, AY.122, B.1.617.2, AY.100, AY.101, AY.102, AY.103, AY.104, AY.105, AY.106, AY.107, AY.108, AY.109, AY.110, AY.111, AY.112, AY.112.2, AY.116, AY.117, AY.118, AY.119, AY.119.2, AY.120, AY.120.2, AY.121.1, AY.122.1, AY.122.6, AY.124, AY.124.1.1, AY.125, AY.126, AY.127, AY.127.1, AY.128, AY.129, AY.131, AY.15, AY.16, AY.20, AY.21, AY.23, AY.23.1, AY.24, AY.25, AY.25.1, AY.27, AY.28, AY.29.1, AY.3, AY.30, AY.32, AY.33, AY.34, AY.34.1, AY.36, AY.37, AY.38, AY.39, AY.39.1, AY.39.1.1, AY.39.1.4, AY.39.3, AY.4, AY.4.13, AY.42, AY.4.2, AY.4.2.1, AY.4.2.2, AY.4.2.3, AY.43, AY.4.3, AY.43.7, AY.44, AY.45, AY.4.5, AY.46, AY.46.2, AY.46.3, AY.46.4, AY.46.5, AY.46.6, AY.47, AY.48, AY.4.8, AY.5, AY.52, AY.53, AY.54, AY.5.4, AY.55, AY.57, AY.58, AY.59, AY.6, AY.61, AY.65, AY.71, AY.75, AY.76, AY.77, AY.79, AY.8, AY.80, AY.82, AY.83, AY.84, AY.85, AY.86, AY.88, AY.9, AY.91, AY.92, AY.93, AY.94, AY.95, AY.98, AY.98.1, AY.99, AY.99.1, AY.120.1, AY.121, AY.29, AY.39.1.2, AY.4.7, AY.4.9, AY.5.3, AY.33.2, AY.35, AY.70, AY.4.11"
Epsilon	B.1.429
Eta	B.1.525
Gamma	"P.1, P.1.1"
Iota	B.1.526
Kappa	B.1.617.1
Zeta	P.2
Omicron	"B.1.1.529, NY.3.3, PQ.17, PQ.31, PQ.5.1, XFJ.4, XFP.1, XFP.1.1, XFP.2, XAB, XAH, XE, XN, XAG, XAP, XAS, XAQ, XAM, XM, XU, XBH, XBF, XAY.2, XBN, XBC.1.1, XBF.8, XBM, XBF.5, BC.1, XBL.1, XAY.2.3, XCG, XBC.1.1.2, BA.2.86.1, BA.2.86, JN.2, JN.6, EW.2, XCW, XDA, XDB, XDD, XDK, JN.12, BA.2.87, XDK.1, XEF, XDK.1.2, XDR, XDY, NY.3, NB.1.8.1, PQ.1, XFP, XFJ, NY.9, XEF.1, PQ.13, PQ.7, XFC.1, PQ.2, PQ.5"
Omicron_BA.1	BA.1
